candidate_id,skill_name,proficiency,endorsements,duration_months
CAND_0000030,Apache Beam,beginner,5,6
CAND_0000030,GraphQL,intermediate,2,22
CAND_0000030,Java,intermediate,14,11
CAND_0000030,Spring Boot,intermediate,2,22
CAND_0000030,Microservices,beginner,11,5
CAND_0000030,Six Sigma,beginner,8,8
CAND_0000030,Accounting,intermediate,3,30
CAND_0000030,HTML,intermediate,12,9
CAND_0000031,Go,intermediate,7,19
CAND_0000031,MLflow,advanced,59,21
CAND_0000031,FAISS,advanced,19,35
CAND_0000031,Pinecone,expert,34,88
CAND_0000031,Angular,beginner,4,18
CAND_0000031,Image Classification,advanced,56,28
CAND_0000031,Machine Learning,advanced,43,23
CAND_0000031,Speech Recognition,intermediate,14,24
CAND_0000031,BentoML,intermediate,6,14
CAND_0000031,MLOps,intermediate,15,36
CAND_0000031,Embeddings,expert,48,60
CAND_0000031,Information Retrieval,expert,2,84
CAND_0000031,Hugging Face Transformers,expert,18,36
CAND_0000031,Feature Engineering,advanced,38,26
CAND_0000031,Sentence Transformers,expert,16,69
CAND_0000031,scikit-learn,advanced,41,60
CAND_0000031,Marketing,intermediate,11,36
CAND_0000032,Speech Recognition,advanced,36,19
CAND_0000032,Project Management,beginner,6,17
CAND_0000032,REST APIs,beginner,13,6
CAND_0000032,CSS,intermediate,15,27
CAND_0000032,Embeddings,advanced,30,30
CAND_0000032,Hadoop,beginner,0,8
CAND_0000032,Spark,intermediate,14,30
CAND_0000032,Python,intermediate,2,13
CAND_0000032,Data Pipelines,beginner,6,8
CAND_0000032,OpenCV,advanced,45,54
CAND_0000033,Kubernetes,beginner,0,9
CAND_0000033,Data Pipelines,beginner,4,8
CAND_0000033,Snowflake,intermediate,11,12
CAND_0000033,CI/CD,intermediate,11,29
CAND_0000033,SEO,intermediate,9,36
CAND_0000033,ETL,intermediate,0,20
CAND_0000033,Airflow,intermediate,11,16
CAND_0000033,TypeScript,intermediate,13,15
CAND_0000033,Content Writing,intermediate,13,11
CAND_0000033,Spring Boot,intermediate,5,26
CAND_0000034,GraphQL,beginner,2,3
CAND_0000034,Excel,intermediate,15,19
CAND_0000034,Node.js,beginner,6,6
CAND_0000034,Terraform,intermediate,6,13
CAND_0000034,Salesforce CRM,intermediate,6,27
CAND_0000034,Flask,intermediate,8,28
CAND_0000034,React,beginner,14,2
CAND_0000034,Azure,beginner,1,5
CAND_0000034,Redux,beginner,15,3
CAND_0000034,Next.js,intermediate,7,21
CAND_0000035,Snowflake,intermediate,11,27
CAND_0000035,BigQuery,beginner,15,6
CAND_0000035,Recommendation Systems,intermediate,2,34
CAND_0000035,Data Pipelines,beginner,14,18
CAND_0000035,Docker,beginner,3,11
CAND_0000035,MongoDB,intermediate,11,16
CAND_0000035,PostgreSQL,intermediate,14,13
CAND_0000035,Sales,intermediate,0,19
CAND_0000035,Kafka,intermediate,14,29
CAND_0000035,Speech Recognition,intermediate,5,33
CAND_0000035,BentoML,advanced,40,59
CAND_0000035,Go,beginner,1,11
CAND_0000035,Next.js,intermediate,15,22
CAND_0000035,dbt,beginner,2,9
CAND_0000036,Figma,beginner,6,13
CAND_0000036,MongoDB,beginner,4,8
CAND_0000036,PowerPoint,beginner,5,3
CAND_0000036,CSS,beginner,5,14
CAND_0000036,Excel,intermediate,9,28
CAND_0000036,GraphQL,beginner,5,18
CAND_0000036,Object Detection,advanced,39,37
CAND_0000036,Vue.js,beginner,13,4
CAND_0000036,Sales,beginner,4,9
CAND_0000037,Databricks,intermediate,12,32
CAND_0000037,Docker,intermediate,6,35
CAND_0000037,Flask,beginner,5,14
CAND_0000037,AWS,intermediate,2,33
CAND_0000037,Terraform,beginner,3,18
CAND_0000037,Tally,intermediate,14,24
CAND_0000037,TTS,intermediate,3,13
CAND_0000037,Apache Beam,intermediate,15,23
CAND_0000038,Kubeflow,intermediate,3,26
CAND_0000038,Django,beginner,2,18
CAND_0000038,Redux,intermediate,3,13
CAND_0000038,Weaviate,advanced,37,27
CAND_0000038,PowerPoint,beginner,15,9
CAND_0000038,Figma,beginner,9,8
CAND_0000038,Docker,beginner,12,3
CAND_0000038,GraphQL,intermediate,13,27
CAND_0000038,Agile,intermediate,14,24
CAND_0000038,MLOps,intermediate,13,26
CAND_0000038,Azure,intermediate,14,27
CAND_0000039,Spark,intermediate,9,15
CAND_0000039,Tailwind,intermediate,9,8
CAND_0000039,Sales,beginner,6,8
CAND_0000039,CI/CD,intermediate,11,35
CAND_0000039,Illustrator,intermediate,9,21
CAND_0000039,Hadoop,intermediate,15,26
CAND_0000039,Microservices,intermediate,13,19
CAND_0000039,REST APIs,beginner,15,12
CAND_0000039,AWS,intermediate,7,18
CAND_0000040,SQL,beginner,12,4
CAND_0000040,Spring Boot,intermediate,15,27
CAND_0000040,Accounting,intermediate,15,16
CAND_0000040,Rust,beginner,12,15
CAND_0000040,Redux,intermediate,2,19
CAND_0000040,SAP,intermediate,14,25
CAND_0000040,Weights & Biases,intermediate,10,21
CAND_0000040,REST APIs,intermediate,6,18
CAND_0000040,Spark,beginner,4,14
CAND_0000041,Airflow,intermediate,13,20
CAND_0000041,SQL,intermediate,12,12
CAND_0000041,Go,beginner,13,8
CAND_0000041,GCP,beginner,0,3
CAND_0000041,Figma,beginner,14,16
CAND_0000041,React,intermediate,15,22
CAND_0000041,Webpack,beginner,3,9
CAND_0000041,Kubernetes,beginner,5,3
CAND_0000041,Angular,intermediate,2,31
CAND_0000042,Project Management,intermediate,3,33
CAND_0000042,gRPC,beginner,3,10
CAND_0000042,Marketing,intermediate,10,24
CAND_0000042,SAP,beginner,12,18
CAND_0000042,Illustrator,beginner,11,14
CAND_0000042,Node.js,intermediate,3,14
CAND_0000042,YOLO,intermediate,5,22
CAND_0000042,Tailwind,beginner,8,16
CAND_0000042,CSS,beginner,11,12
CAND_0000042,Figma,beginner,10,7
CAND_0000043,Elasticsearch,advanced,54,44
CAND_0000043,OpenSearch,intermediate,21,34
CAND_0000043,Airflow,beginner,5,2
CAND_0000043,Kubeflow,advanced,12,55
CAND_0000043,Fine-tuning LLMs,intermediate,8,14
CAND_0000043,Haystack,advanced,11,27
CAND_0000043,OpenCV,advanced,54,33
CAND_0000043,TensorFlow,intermediate,0,19
CAND_0000043,PEFT,intermediate,5,21
CAND_0000043,LangChain,intermediate,37,25
CAND_0000043,Weights & Biases,intermediate,4,26
CAND_0000043,Reinforcement Learning,advanced,0,30
CAND_0000043,Deep Learning,intermediate,0,16
CAND_0000043,Image Classification,advanced,24,50
CAND_0000043,Node.js,intermediate,12,24
CAND_0000043,Project Management,intermediate,0,36
CAND_0000043,Feature Engineering,intermediate,0,20
CAND_0000044,Hadoop,beginner,3,3
CAND_0000044,JavaScript,beginner,5,18
CAND_0000044,Databricks,beginner,13,5
CAND_0000044,Python,intermediate,2,26
CAND_0000044,dbt,intermediate,3,16
CAND_0000044,CI/CD,beginner,11,13
CAND_0000045,GCP,beginner,1,3
CAND_0000045,Sales,intermediate,2,12
CAND_0000045,Redux,intermediate,14,25
CAND_0000045,PostgreSQL,intermediate,1,36
CAND_0000045,Airflow,intermediate,5,18
CAND_0000045,SAP,intermediate,13,27
CAND_0000046,Agile,beginner,1,9
CAND_0000046,Scrum,intermediate,11,28
CAND_0000046,SAP,intermediate,6,35
CAND_0000046,React,beginner,7,7
CAND_0000046,Azure,intermediate,3,36
CAND_0000046,ETL,beginner,2,8
CAND_0000047,FastAPI,beginner,8,4
CAND_0000047,Java,intermediate,5,28
CAND_0000047,Excel,intermediate,10,9
CAND_0000047,Tally,intermediate,10,9
CAND_0000047,SQL,intermediate,11,15
CAND_0000047,Scrum,intermediate,1,13
CAND_0000047,Hadoop,beginner,10,17
CAND_0000048,Hadoop,beginner,2,15
CAND_0000048,Terraform,intermediate,13,26
CAND_0000048,Vue.js,intermediate,2,24
CAND_0000048,Content Writing,intermediate,11,26
CAND_0000048,AWS,intermediate,1,31
CAND_0000049,TypeScript,beginner,0,8
CAND_0000049,Rust,intermediate,1,16
CAND_0000049,Data Pipelines,beginner,6,11
CAND_0000049,Apache Beam,beginner,10,4
CAND_0000049,GraphQL,intermediate,14,16
CAND_0000049,Kubernetes,intermediate,5,13
CAND_0000050,gRPC,intermediate,9,11
CAND_0000050,SEO,beginner,8,18
CAND_0000050,Feature Engineering,advanced,4,42
CAND_0000050,Marketing,beginner,0,15
CAND_0000050,Data Pipelines,beginner,0,15
CAND_0000050,Kafka,beginner,7,13
CAND_0000050,Excel,intermediate,10,23
